62,28,17.71,16.18,687.25,01-01-1970.00:00,2:05 PM,,,,,
61,28,16.21,20.04,756.99,01-01-1970.00:02,,,,,,
58.3,28.9,21.71,-1,97129.12,01-01-1970.00:22,,,,,,
58.9,29,21.78,-1,97129.12,01-01-1970.00:43,,,,,,
59,29,21.92,-1,22250.61,01-01-1970.01:03,,,,,,
58.1,29,23.92,-1,3654.87,01-01-1970.01:24,,,,,,
56.9,28.1,25.16,-1,44031.65,01-01-1970.01:45,,,,,,
56.9,28,51.03,-1,14935.25,01-01-1970.02:05,,,,,,
57.9,28,47.9,-1,18629.83,01-01-1970.02:26,,,,,,
58,28,47.9,-1,17518.99,01-01-1970.02:47,,,,,,
58,28.6,47.72,-1,17176.14,01-01-1970.03:07,,,,,,
58.9,28.9,48,-1,15171.35,01-01-1970.03:28,,,,,,
59,29,46.71,-1,18246.51,01-01-1970.03:48,,,,,,
59,29,48.85,-1,13739.15,01-01-1970.04:09,,,,,,
59,29,46.17,-1,19238.93,01-01-1970.04:30,,,,,,
59,29,46.2,-1,18950.23,01-01-1970.04:50,,,,,,
58.1,29,45.14,-1,21824.56,01-01-1970.05:11,,,,,,
59.8,28.1,45.71,-1,19838.98,01-01-1970.05:31,,,,,,
60,28,44.96,-1,21824.56,01-01-1970.05:52,,,,,,
60,28,45.06,-1,21305.94,01-01-1970.06:13,,,,,,
60,28,44.97,-1,21305.94,01-01-1970.06:33,,,,,,
60.2,28,44.99,-1,20810.36,01-01-1970.06:54,,,,,,
60.9,28,44.98,-1,18245.03,01-01-1970.07:15,,,,,,
63.7,27.7,44.97,-1,20109.4,01-01-1970.07:35,,,,,,
64,27.9,44.89,-1,20245.56,01-01-1970.07:56,,,,,,
63.1,28,44.75,-1,19882.47,01-01-1970.08:16,,,,,,
63,27.6,45.21,-1,18134.03,01-01-1970.08:37,,,,,,
62.1,27.1,45.73,-1,16496.42,01-01-1970.08:58,,,,,,
62.9,27,44.67,-1,18950.23,01-01-1970.09:18,,,,,,
62.1,27,43.41,-1,23536.03,01-01-1970.09:39,,,,,,
61.1,27,43.48,-1,22937.71,01-01-1970.09:59,,,,,,
61.9,27,43.52,-1,22937.71,01-01-1970.10:20,,,,,,
60.9,27,43.53,-1,22937.71,01-01-1970.10:41,,,,,,
60.1,27,43.46,-1,22652.8,01-01-1970.11:01,,,,,,
60,27,44.24,-1,19072.05,01-01-1970.11:22,,,,,,
60,26.1,44.16,-1,19447.53,01-01-1970.11:42,,,,,,
60,26,44.97,-1,16496.42,01-01-1970.12:03,,,,,,
60,26,46.08,-1,13872.29,01-01-1970.12:24,,,,,,
60,26,46.59,-1,10974.15,01-01-1970.12:44,,,,,,
60,26,46.86,-1,12337.67,01-01-1970.13:05,,,,,,
60,26,46.27,-1,12864.78,01-01-1970.13:26,,,,,,
60,26,47.73,-1,10856.02,01-01-1970.13:46,,,,,,
60,26,45.62,-1,13650.39,01-01-1970.14:07,,,,,,
60,26,44.8,-1,15359.02,01-01-1970.14:27,,,,,,
59.1,26,45.59,-1,13850.1,01-01-1970.14:48,,,,,,
59,26,45.03,-1,14102.45,01-01-1970.15:09,,,,,,
59,25.1,44.35,-1,15779.58,01-01-1970.15:29,,,,,,
59,25,44.44,-1,15608.49,01-01-1970.15:50,,,,,,
59,25,44.48,-1,15090.92,01-01-1970.16:10,,,,,,
59,25,43.63,-1,17110.06,01-01-1970.16:31,,,,,,
59,25,43.39,-1,17875.03,01-01-1970.16:52,,,,,,
59,25,43.37,-1,17839.42,01-01-1970.17:12,,,,,,
58.1,25,43.21,-1,17625.8,01-01-1970.17:33,,,,,,
58,25,43.21,-1,17518.99,01-01-1970.17:53,,,,,,
58,25,43.15,-1,17484.7,01-01-1970.18:14,,,,,,
58,25,43.1,-1,17176.14,01-01-1970.18:35,,,,,,
58,25,43.1,-1,9248.39,01-01-1970.18:55,9:00 AM,,,,,
59.5,20.7,32.59,-1,12034.03,01-01-1970.00:00,9:30 AM,,,,,
59.8,23,35.69,-1,20336.33,01-01-1970.00:21,,,,,,
61.7,22.1,35.66,-1,19973.24,01-01-1970.00:41,,,,,,
64.2,22,35.66,-1,15359.02,01-01-1970.01:02,,,,,,
60.4,22,35.74,-1,18629.83,01-01-1970.01:23,,,,,,
58.2,22,35.9,-1,13872.29,01-01-1970.01:43,,,,,,
57.1,22,35.95,-1,13739.15,01-01-1970.02:04,,,,,,
56.1,22,35.9,-1,10283.63,01-01-1970.02:24,,,,,,
56,22,35.97,-1,9290.82,01-01-1970.02:45,,,,,,
55.1,22.9,36.02,-1,9555.98,01-01-1970.03:06,,,,,,
54.1,23,36.11,-1,11916.07,01-01-1970.03:26,,,,,,
53.4,23,35.85,-1,11119.09,01-01-1970.03:47,,,,,,
54.5,23,35.92,-1,12633.35,01-01-1970.04:07,,,,,,
54.1,23,35.59,-1,12825.3,01-01-1970.04:28,,,,,,
53.1,23,35.69,-1,11270.51,01-01-1970.04:49,,,,,,
53,23,35.64,-1,11119.09,01-01-1970.05:09,,,,,,
53,23,35.55,-1,11270.51,01-01-1970.05:30,,,,,,
52.1,23,35.38,-1,13435.02,01-01-1970.05:51,,,,,,
52.9,23,35.24,-1,12845.04,01-01-1970.06:11,,,,,,
52.1,23,35.12,-1,8916.53,01-01-1970.06:32,,,,,,
51.1,23,34.87,-1,11585.02,01-01-1970.06:52,,,,,,
51.3,23,34.84,-1,12633.35,01-01-1970.07:13,,,,,,
51.9,23,34.65,-1,13022.73,01-01-1970.07:34,,,,,,
52,23,34.7,-1,17176.14,01-01-1970.07:54,,,,,,
52,23,34.56,-1,20245.56,01-01-1970.08:15,,,,,,
52.9,23,34.58,-1,19030.33,01-01-1970.08:35,,,,,,
52.1,23,34.4,-1,18629.83,01-01-1970.08:56,,,,,,
52.3,23,34.18,-1,19882.47,01-01-1970.09:17,,,,,,
52.9,23,34.11,-1,24165.03,01-01-1970.09:37,,,,,,
52.1,23,34,-1,29668.79,01-01-1970.09:58,,,,,,
52.9,23,33.83,-1,38254.65,01-01-1970.10:18,,,,,,
52.1,23,33.74,-1,39890.05,01-01-1970.10:39,,,,,,
52.9,23,33.76,-1,39890.05,01-01-1970.11:00,,,,,,
53,23,33.71,-1,39890.05,01-01-1970.11:20,,,,,,
53,23,33.64,-1,39890.05,01-01-1970.11:41,,,,,,
52.1,23.9,33.62,-1,39890.05,01-01-1970.12:02,,,,,,
52.9,24,33.27,-1,39890.05,01-01-1970.12:22,,,,,,
53,24,33.27,-1,39890.05,01-01-1970.12:43,,,,,,
53,23.6,33.27,-1,39890.05,01-01-1970.13:03,,,,,,
53,24,33.27,-1,39890.05,01-01-1970.13:24,,,,,,
53,24,33.34,-1,39072.36,01-01-1970.13:45,,,,,,
53,23.1,33.43,-1,38418.2,01-01-1970.14:05,,,,,,
53,23,33.36,-1,38908.81,01-01-1970.14:26,,,,,,
53,23,33.22,-1,38254.65,01-01-1970.14:46,,,,,,
53,23,33.31,-1,38254.65,01-01-1970.15:07,,,,,,
53,23,33.08,-1,38254.65,01-01-1970.15:28,,,,,,
53.9,23,33.13,-1,38254.65,01-01-1970.15:48,,,,,,
54,23,32.94,-1,38254.65,01-01-1970.16:09,,,,,,
54,23,32.73,-1,38254.65,01-01-1970.16:30,,,,,,
54,23,32.77,-1,38254.65,01-01-1970.16:50,,,,,,
54,23,32.8,-1,38254.65,01-01-1970.17:11,,,,,,
54,23,32.7,-1,38254.65,01-01-1970.17:31,,,,,,
54,23,32.47,-1,38254.65,01-01-1970.17:52,,,,,,
54.9,23,32.56,-1,38254.65,01-01-1970.18:13,,,,,,
54.9,23,32.35,-1,38254.65,01-01-1970.18:33,,,,,,
55,23,32.4,-1,37952.73,01-01-1970.18:54,,,,,,
55,23,32.23,-1,37348.89,01-01-1970.19:14,,,,,,
55,23,32.21,-1,37499.85,01-01-1970.19:35,,,,,,
55,23,32.07,-1,37952.73,01-01-1970.19:56,,,,,,
55,23,32.07,-1,37801.77,01-01-1970.20:16,,,,,,
55,23,31.88,-1,37650.82,01-01-1970.20:37,,,,,,
55,23,31.9,-1,37046.97,01-01-1970.20:57,,,,,,
55,22.1,31.79,-1,36745.05,01-01-1970.21:18,,,,,,
55,22.9,31.53,-1,36745.05,01-01-1970.21:39,,,,,,
54.8,23,31.58,-1,36745.05,01-01-1970.21:59,,,,,,
55,23,31.43,-1,36745.05,01-01-1970.22:20,,,,,,
55,23,31.51,-1,36745.05,01-01-1970.22:41,,,,,,
54.7,23,31.34,-1,36745.05,01-01-1970.23:01,,,,,,
54,23,31.11,-1,36745.05,01-01-1970.23:22,,,,,,
54,23,31.15,-1,36745.05,01-01-1970.23:42,9:15 AM,,,,,
50.9,21.6,25.75,-1,42.3,01-01-1970.00:00,,,,,,
58.7,22.2,26.78,-1,53.26,01-01-1970.00:21,,,,,,
57.1,22.9,35.1,-1,64.21,01-01-1970.00:41,,,,,,
57,23.9,32.47,-1,68.68,01-01-1970.01:02,,,,,,
58.8,23.1,32.77,-1,77.44,01-01-1970.01:23,,,,,,
58.1,22.1,32.56,-1,91.98,01-01-1970.01:43,,,,,,
58.9,22.9,33.67,-1,133.39,01-01-1970.02:04,,,,,,
57.9,22.1,30.42,-1,138.43,01-01-1970.02:24,,,,,,
59.7,22,30.21,-1,134.81,01-01-1970.02:45,,,,,,
59.1,22,29.72,-1,140.65,01-01-1970.03:06,,,,,,
60.6,22.9,30.73,-1,110.7,01-01-1970.03:26,,,,,,
60.9,22.1,28.99,-1,126.17,01-01-1970.03:47,,,,,,
60.1,22,29.34,-1,117.61,01-01-1970.04:07,,,,,,
59.1,22,26.78,-1,212.11,01-01-1970.04:28,,,,,,
60.7,22,26.1,-1,216.99,01-01-1970.04:49,,,,,,
59.6,22,25.54,-1,230.55,01-01-1970.05:09,,,,,,
61.7,22,23.54,-1,243.22,01-01-1970.05:30,,,,,,
62,22,22.93,-1,252.48,01-01-1970.05:51,,,,,,
62.9,22,22.9,-1,264.08,01-01-1970.06:11,,,,,,
63.9,21.1,22.55,-1,284.72,01-01-1970.06:32,,,,,,
65.8,21,22.36,-1,308.07,01-01-1970.06:52,,,,,,
68.3,21,21.28,-1,381.81,01-01-1970.07:13,,,,,,
70.8,21,19.71,18.72,628.72,01-01-1970.07:35,,,,,,
71,20.1,28.47,-1,2127.99,01-01-1970.07:56,,,,,,
71.9,20,22.41,-1,14101.02,01-01-1970.08:16,,,,,,
72,20,21.82,-1,17625.79,01-01-1970.08:37,,,,,,
70.9,20,21.68,-1,17875.03,01-01-1970.08:58,,,,,,
72.3,20,21.59,-1,17554.59,01-01-1970.09:18,,,,,,
78.4,19.1,21.89,-1,16845.75,01-01-1970.09:39,,,,,,
76.1,19,22.53,-1,16071.35,01-01-1970.09:59,,,,,,
72.3,19,22.69,-1,15608.49,01-01-1970.10:20,,,,,,
77.1,19,21.85,-1,16311.98,01-01-1970.10:41,,,,,,
72.6,19,21.89,-1,15636.21,01-01-1970.11:01,,,,,,
73.5,19,21.54,-1,16281.24,01-01-1970.11:22,,,,,,
73.1,19,20.01,-1,18208.03,01-01-1970.11:42,,,,,,
72.1,18.1,21.4,-1,15922.95,01-01-1970.12:03,,,,,,
72.9,18,22.74,-1,13770.19,01-01-1970.12:24,,,,,,
72.1,18,23.23,-1,13850.1,01-01-1970.12:44,,,,,,
72,17.1,23.66,-1,13585.78,01-01-1970.13:05,,,,,,
78.3,17,21.89,-1,15608.49,01-01-1970.13:26,,,,,,
75.5,17,25.84,-1,11634.5,01-01-1970.13:46,,,,,,
74.1,17,21.87,-1,14964.7,01-01-1970.14:07,,,,,,
75.1,17.1,22.18,-1,14336.89,01-01-1970.14:27,,,,,,
76,17,22.11,-1,14555.92,01-01-1970.14:48,,,,,,
75.1,17,20.41,-1,16313.1,01-01-1970.15:09,,,,,,
75.9,17,20.55,-1,16283.42,01-01-1970.15:29,,,,,,
79.6,17,20.81,-1,15928.04,01-01-1970.15:50,,,,,,
77,17,20.63,-1,15871.64,01-01-1970.16:10,,,,,,
75.1,17,19.85,19.1,16533.99,01-01-1970.16:33,,,,,,
75,16.1,20.04,-1,15361.79,01-01-1970.16:53,,,,,,
75,16,22.27,-1,12865.33,01-01-1970.17:14,,,,,,
76.8,16.9,24.17,-1,12107.46,01-01-1970.17:34,,,,,,
81.5,17,19.07,18.96,16041.67,01-01-1970.17:57,,,,,,
79.3,17,18.77,19.07,4502.23,01-01-1970.18:19,,,,,,
78.8,17,18.77,19.12,1087.87,01-01-1970.18:41,,,,,,
